"All Shipping Flat Rate","All Shipping Flat Rate"
"Add New Shipping","Add New Shipping"
"Delete Shipping","Delete Shipping"
"ID","ID"
"Title","Title"
"Type","Type"
"Price","Price"
"Free Shipping","Free Shipping"
"Sort Order","Sort Order"
"Status","Status"
"Per Order","Per Order"
"Per Item","Per Item"
"Enabled","Enabled"
"Disabled","Disabled"
"View","View"
"You don't have any shipping at this time.","You don't have any shipping at this time."
"Attention","Attention"
"You haven't selected any items!","You haven't selected any items!"
"Delete Shipping","Delete Shipping"
"Delete selected items?","Delete selected items?"
"Add New Shipping Flat Rate","Add New Shipping Flat Rate"
"Minimun order amount for free shipping","Minimun order amount for free shipping"
"Enable","Enable"
"Disable","Disable"
"Continue","Continue"
"Save","Save"
"« Back","« Back"
