"Seller : ","Seller : "
"Table rate","Table rate"
"Marketplace Table Rate Shipping","Marketplace Table Rate Shipping"
"Upload Shipping Detail","Upload Shipping Detail"
"Download sample file","Download sample file"
"CSV File:","CSV File:"
"Save Shipping","Save Shipping"
"Add New Shipping","Add New Shipping"
"Delete Shipping","Delete Shipping"
"Orders","Orders"
"ID","ID"
"Title","Title"
"Type","Type"
"Price","Price"
"Country Code","Country Code"
"Region Id","Region Id"
"Zip(From-To)","Zip(From-To)"
"Weight(From-To)","Weight(From-To)"
"Free Shipping","Free Shipping"
"Sort Order","Sort Order"
"Status","Status"
"Per Item","Per Item"
"Per Order","Per Order"
"Enabled","Enabled"
"Disabled","Disabled"
"View","View"
"You don't have any shipping at this time.","You don't have any shipping at this time."
"Attention","Attention"
"You haven't selected any items!","You haven't selected any items!"
"Delete selected items?","Delete selected items?"
"Add New Shipping Table Rate","Add New Shipping Table Rate"
"Zip From","Zip From"
"Zip To","Zip To"
"Weight From","Weight From"
"Weight To","Weight To"
"Minimun order amount for free shipping","Minimun order amount for free shipping"
"Save","Save"
"« Back","« Back"
"Edit Shipping Table Rate ID : ","Edit Shipping Table Rate ID : "
"Seller","Seller"
"Multi Shipping Table Rate","Multi Shipping Table Rate"
"My Shipping","My Shipping"
"File not found","File not found"
"Imported successfully.","Imported successfully."
"File is not csv","File is not csv"
"You saved successfully.","You saved successfully."
"View Shipping","View Shipping"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Add New Shipping","Add New Shipping"
